PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
169,170,0,3,0,28.0,0,0,56.4958,0
170,171,0,1,0,61.0,0,0,33.5,0
171,172,0,3,0,4.0,4,1,29.125,2
172,173,1,3,1,1.0,1,1,11.1333,0
173,174,0,3,0,21.0,0,0,7.925,0
174,175,0,1,0,56.0,0,0,30.6958,1
175,176,0,3,0,18.0,1,1,7.8542,0
176,177,0,3,0,19.0,3,1,25.4667,0
177,178,0,1,1,50.0,0,0,28.7125,1
178,179,0,2,0,30.0,0,0,13.0,0
179,180,0,3,0,36.0,0,0,0.0,0
180,181,0,3,1,37.0,8,2,69.55,0
181,182,0,2,0,32.0,0,0,15.05,1
182,183,0,3,0,9.0,4,2,31.3875,0
183,184,1,2,0,1.0,2,1,39.0,0
184,185,1,3,1,4.0,0,2,22.025,0
185,186,0,1,0,45.0,0,0,50.0,0
186,187,1,3,1,22.0,1,0,15.5,2
187,188,1,1,0,45.0,0,0,26.55,0
188,189,0,3,0,40.0,1,1,15.5,2
189,190,0,3,0,36.0,0,0,7.8958,0
190,191,1,2,1,32.0,0,0,13.0,0
191,192,0,2,0,19.0,0,0,13.0,0
192,193,1,3,1,19.0,1,0,7.8542,0
193,194,1,2,0,3.0,1,1,26.0,0
194,195,1,1,1,44.0,0,0,27.7208,1
195,196,1,1,1,58.0,0,0,146.5208,1
196,197,0,3,0,47.0,0,0,7.75,2
197,198,0,3,0,42.0,0,1,8.4042,0
198,199,1,3,1,21.0,0,0,7.75,2
199,200,0,2,1,24.0,0,0,13.0,0
200,201,0,3,0,28.0,0,0,9.5,0
201,202,0,3,0,37.0,8,2,69.55,0
202,203,0,3,0,34.0,0,0,6.4958,0
203,204,0,3,0,45.5,0,0,7.225,1
204,205,1,3,0,18.0,0,0,8.05,0
205,206,0,3,1,2.0,0,1,10.4625,0
206,207,0,3,0,32.0,1,0,15.85,0
207,208,1,3,0,26.0,0,0,18.7875,1
208,209,1,3,1,16.0,0,0,7.75,2
209,210,1,1,0,40.0,0,0,31.0,1
210,211,0,3,0,24.0,0,0,7.05,0
211,212,1,2,1,35.0,0,0,21.0,0
212,213,0,3,0,22.0,0,0,7.25,0
213,214,0,2,0,30.0,0,0,13.0,0
214,215,0,3,0,47.0,1,0,7.75,2
215,216,1,1,1,31.0,1,0,113.275,1
216,217,1,3,1,27.0,0,0,7.925,0
217,218,0,2,0,42.0,1,0,27.0,0
218,219,1,1,1,32.0,0,0,76.2917,1
219,220,0,2,0,30.0,0,0,10.5,0
220,221,1,3,0,16.0,0,0,8.05,0
221,222,0,2,0,27.0,0,0,13.0,0
222,223,0,3,0,51.0,0,0,8.05,0
223,224,0,3,0,33.0,0,0,7.8958,0
224,225,1,1,0,38.0,1,0,90.0,0
225,226,0,3,0,22.0,0,0,9.35,0
226,227,1,2,0,19.0,0,0,10.5,0
227,228,0,3,0,20.5,0,0,7.25,0
228,229,0,2,0,18.0,0,0,13.0,0
229,230,0,3,1,24.0,3,1,25.4667,0
230,231,1,1,1,35.0,1,0,83.475,0
231,232,0,3,0,29.0,0,0,7.775,0
232,233,0,2,0,59.0,0,0,13.5,0
233,234,1,3,1,5.0,4,2,31.3875,0
234,235,0,2,0,24.0,0,0,10.5,0
235,236,0,3,1,25.0,0,0,7.55,0
236,237,0,2,0,44.0,1,0,26.0,0
237,238,1,2,1,8.0,0,2,26.25,0
238,239,0,2,0,19.0,0,0,10.5,0
239,240,0,2,0,33.0,0,0,12.275,0
240,241,0,3,1,19.0,1,0,14.4542,1
241,242,1,3,1,22.0,1,0,15.5,2
242,243,0,2,0,29.0,0,0,10.5,0
243,244,0,3,0,22.0,0,0,7.125,0
244,245,0,3,0,30.0,0,0,7.225,1
245,246,0,1,0,44.0,2,0,90.0,2
246,247,0,3,1,25.0,0,0,7.775,0
247,248,1,2,1,24.0,0,2,14.5,0
248,249,1,1,0,37.0,1,1,52.5542,0
249,250,0,2,0,54.0,1,0,26.0,0
250,251,0,3,0,34.0,0,0,7.25,0
251,252,0,3,1,29.0,1,1,10.4625,0
252,253,0,1,0,62.0,0,0,26.55,0
253,254,0,3,0,30.0,1,0,16.1,0
254,255,0,3,1,41.0,0,2,20.2125,0
255,256,1,3,1,29.0,0,2,15.2458,1
256,257,1,1,1,40.0,0,0,79.2,1
257,258,1,1,1,30.0,0,0,86.5,0
258,259,1,1,1,35.0,0,0,512.3292,1
259,260,1,2,1,50.0,0,1,26.0,0
260,261,0,3,0,47.0,0,0,7.75,2
261,262,1,3,0,3.0,4,2,31.3875,0
262,263,0,1,0,52.0,1,1,79.65,0
263,264,0,1,0,40.0,0,0,0.0,0
264,265,0,3,1,21.0,0,0,7.75,2
265,266,0,2,0,36.0,0,0,10.5,0
266,267,0,3,0,16.0,4,1,39.6875,0
267,268,1,3,0,25.0,1,0,7.775,0
268,269,1,1,1,58.0,0,1,153.4625,0
269,270,1,1,1,35.0,0,0,135.6333,0
270,271,0,1,0,48.0,0,0,31.0,0
271,272,1,3,0,25.0,0,0,0.0,0
272,273,1,2,1,41.0,0,1,19.5,0
273,274,0,1,0,37.0,0,1,29.7,1
274,275,1,3,1,21.0,0,0,7.75,2
275,276,1,1,1,63.0,1,0,77.9583,0
276,277,0,3,1,45.0,0,0,7.75,0
277,278,0,2,0,33.0,0,0,0.0,0
278,279,0,3,0,7.0,4,1,29.125,2
279,280,1,3,1,35.0,1,1,20.25,0
280,281,0,3,0,65.0,0,0,7.75,2
281,282,0,3,0,28.0,0,0,7.8542,0
282,283,0,3,0,16.0,0,0,9.5,0
283,284,1,3,0,19.0,0,0,8.05,0
284,285,0,1,0,42.0,0,0,26.0,0
285,286,0,3,0,33.0,0,0,8.6625,1
286,287,1,3,0,30.0,0,0,9.5,0
287,288,0,3,0,22.0,0,0,7.8958,0
288,289,1,2,0,42.0,0,0,13.0,0
289,290,1,3,1,22.0,0,0,7.75,2
290,291,1,1,1,26.0,0,0,78.85,0
291,292,1,1,1,19.0,1,0,91.0792,1
292,293,0,2,0,36.0,0,0,12.875,1
293,294,0,3,1,24.0,0,0,8.85,0
294,295,0,3,0,24.0,0,0,7.8958,0
295,296,0,1,0,38.0,0,0,27.7208,1
296,297,0,3,0,23.5,0,0,7.2292,1
297,298,0,1,1,2.0,1,2,151.55,0
298,299,1,1,0,48.0,0,0,30.5,0
299,300,1,1,1,50.0,0,1,247.5208,1
300,301,1,3,1,21.0,0,0,7.75,2
301,302,1,3,0,29.0,2,0,23.25,2
302,303,0,3,0,19.0,0,0,0.0,0
303,304,1,2,1,32.0,0,0,12.35,2
304,305,0,3,0,27.0,0,0,8.05,0
305,306,1,1,0,0.92,1,2,151.55,0
306,307,1,1,1,28.0,0,0,110.8833,1
307,308,1,1,1,17.0,1,0,108.9,1
308,309,0,2,0,30.0,1,0,24.0,1
309,310,1,1,1,30.0,0,0,56.9292,1
310,311,1,1,1,24.0,0,0,83.1583,1
311,312,1,1,1,18.0,2,2,262.375,1
312,313,0,2,1,26.0,1,1,26.0,0
313,314,0,3,0,28.0,0,0,7.8958,0
314,315,0,2,0,43.0,1,1,26.25,0
315,316,1,3,1,26.0,0,0,7.8542,0
316,317,1,2,1,24.0,1,0,26.0,0
317,318,0,2,0,54.0,0,0,14.0,0
318,319,1,1,1,31.0,0,2,164.8667,0
319,320,1,1,1,40.0,1,1,134.5,1
320,321,0,3,0,22.0,0,0,7.25,0
321,322,0,3,0,27.0,0,0,7.8958,0
322,323,1,2,1,30.0,0,0,12.35,2
323,324,1,2,1,22.0,1,1,29.0,0
324,325,0,3,0,37.0,8,2,69.55,0
325,326,1,1,1,36.0,0,0,135.6333,1
326,327,0,3,0,61.0,0,0,6.2375,0
327,328,1,2,1,36.0,0,0,13.0,0
328,329,1,3,1,31.0,1,1,20.525,0
329,330,1,1,1,16.0,0,1,57.9792,1
330,331,1,3,1,23.0,2,0,23.25,2
331,332,0,1,0,45.5,0,0,28.5,0
332,333,0,1,0,38.0,0,1,153.4625,0
333,334,0,3,0,16.0,2,0,18.0,0
334,335,1,1,1,40.0,1,0,133.65,0
335,336,0,3,0,33.0,0,0,7.8958,0
336,337,0,1,0,29.0,1,0,66.6,0
337,338,1,1,1,41.0,0,0,134.5,1
338,339,1,3,0,45.0,0,0,8.05,0
339,340,0,1,0,45.0,0,0,35.5,0
340,341,1,2,0,2.0,1,1,26.0,0
341,342,1,1,1,24.0,3,2,263.0,0
342,343,0,2,0,28.0,0,0,13.0,0
343,344,0,2,0,25.0,0,0,13.0,0
344,345,0,2,0,36.0,0,0,13.0,0
345,346,1,2,1,24.0,0,0,13.0,0
346,347,1,2,1,40.0,0,0,13.0,0
347,348,1,3,1,26.0,1,0,16.1,0
348,349,1,3,0,3.0,1,1,15.9,0
349,350,0,3,0,42.0,0,0,8.6625,0
350,351,0,3,0,23.0,0,0,9.225,0
351,352,0,1,0,49.0,0,0,35.0,0
352,353,0,3,0,15.0,1,1,7.2292,1
353,354,0,3,0,25.0,1,0,17.8,0
354,355,0,3,0,32.0,0,0,7.225,1
355,356,0,3,0,28.0,0,0,9.5,0
356,357,1,1,1,22.0,0,1,55.0,0
357,358,0,2,1,38.0,0,0,13.0,0
358,359,1,3,1,21.0,0,0,7.8792,2
359,360,1,3,1,21.0,0,0,7.8792,2
360,361,0,3,0,40.0,1,4,27.9,0
361,362,0,2,0,29.0,1,0,27.7208,1
362,363,0,3,1,45.0,0,1,14.4542,1
363,364,0,3,0,35.0,0,0,7.05,0
364,365,0,3,0,29.0,1,0,15.5,2
365,366,0,3,0,30.0,0,0,7.25,0
366,367,1,1,1,60.0,1,0,75.25,1
367,368,1,3,1,22.0,0,0,7.2292,1
368,369,1,3,1,21.0,0,0,7.75,2
369,370,1,1,1,24.0,0,0,69.3,1
370,371,1,1,0,25.0,1,0,55.4417,1
371,372,0,3,0,18.0,1,0,6.4958,0
372,373,0,3,0,19.0,0,0,8.05,0
373,374,0,1,0,22.0,0,0,135.6333,1
374,375,0,3,1,3.0,3,1,21.075,0
375,376,1,1,1,36.0,1,0,82.1708,1
376,377,1,3,1,22.0,0,0,7.25,0
377,378,0,1,0,27.0,0,2,211.5,1
378,379,0,3,0,20.0,0,0,4.0125,1
379,380,0,3,0,19.0,0,0,7.775,0
380,381,1,1,1,42.0,0,0,227.525,1
381,382,1,3,1,1.0,0,2,15.7417,1
382,383,0,3,0,32.0,0,0,7.925,0
383,384,1,1,1,35.0,1,0,52.0,0
384,385,0,3,0,33.0,0,0,7.8958,0
385,386,0,2,0,18.0,0,0,73.5,0
386,387,0,3,0,1.0,5,2,46.9,0
387,388,1,2,1,36.0,0,0,13.0,0
388,389,0,3,0,42.0,0,0,7.7292,2
389,390,1,2,1,17.0,0,0,12.0,1
390,391,1,1,0,36.0,1,2,120.0,0
391,392,1,3,0,21.0,0,0,7.7958,0
392,393,0,3,0,28.0,2,0,7.925,0
393,394,1,1,1,23.0,1,0,113.275,1
394,395,1,3,1,24.0,0,2,16.7,0
395,396,0,3,0,22.0,0,0,7.7958,0
396,397,0,3,1,31.0,0,0,7.8542,0
397,398,0,2,0,46.0,0,0,26.0,0
398,399,0,2,0,23.0,0,0,10.5,0
399,400,1,2,1,28.0,0,0,12.65,0
400,401,1,3,0,39.0,0,0,7.925,0
401,402,0,3,0,26.0,0,0,8.05,0
402,403,0,3,1,21.0,1,0,9.825,0
403,404,0,3,0,28.0,1,0,15.85,0
404,405,0,3,1,20.0,0,0,8.6625,0
405,406,0,2,0,34.0,1,0,21.0,0
406,407,0,3,0,51.0,0,0,7.75,0
407,408,1,2,0,3.0,1,1,18.75,0
408,409,0,3,0,21.0,0,0,7.775,0
409,410,0,3,1,24.0,3,1,25.4667,0
410,411,0,3,0,33.0,0,0,7.8958,0
411,412,0,3,0,40.0,0,0,6.8583,2
412,413,1,1,1,33.0,1,0,90.0,2
413,414,0,2,0,33.0,0,0,0.0,0
414,415,1,3,0,44.0,0,0,7.925,0
415,416,0,3,1,27.0,0,0,8.05,0
416,417,1,2,1,34.0,1,1,32.5,0
417,418,1,2,1,18.0,0,2,13.0,0
418,419,0,2,0,30.0,0,0,13.0,0
419,420,0,3,1,10.0,0,2,24.15,0
420,421,0,3,0,27.0,0,0,7.8958,1
421,422,0,3,0,21.0,0,0,7.7333,2
422,423,0,3,0,29.0,0,0,7.875,0
423,424,0,3,1,28.0,1,1,14.4,0
424,425,0,3,0,18.0,1,1,20.2125,0
425,426,0,3,0,34.0,0,0,7.25,0
426,427,1,2,1,28.0,1,0,26.0,0
427,428,1,2,1,19.0,0,0,26.0,0
428,429,0,3,0,47.0,0,0,7.75,2
429,430,1,3,0,32.0,0,0,8.05,0
430,431,1,1,0,28.0,0,0,26.55,0
431,432,1,3,1,26.0,1,0,16.1,0
432,433,1,2,1,42.0,1,0,26.0,0
433,434,0,3,0,17.0,0,0,7.125,0
434,435,0,1,0,50.0,1,0,55.9,0
435,436,1,1,1,14.0,1,2,120.0,0
436,437,0,3,1,21.0,2,2,34.375,0
437,438,1,2,1,24.0,2,3,18.75,0
438,439,0,1,0,64.0,1,4,263.0,0
439,440,0,2,0,31.0,0,0,10.5,0
440,441,1,2,1,45.0,1,1,26.25,0
441,442,0,3,0,20.0,0,0,9.5,0
442,443,0,3,0,25.0,1,0,7.775,0
443,444,1,2,1,28.0,0,0,13.0,0
444,445,1,3,0,27.0,0,0,8.1125,0
445,446,1,1,0,4.0,0,2,81.8583,0
446,447,1,2,1,13.0,0,1,19.5,0
447,448,1,1,0,34.0,0,0,26.55,0
448,449,1,3,1,5.0,2,1,19.2583,1
449,450,1,1,0,52.0,0,0,30.5,0
450,451,0,2,0,36.0,1,2,27.75,0
451,452,0,3,0,26.0,1,0,19.9667,0
452,453,0,1,0,30.0,0,0,27.75,1
453,454,1,1,0,49.0,1,0,89.1042,1
454,455,0,3,0,27.0,0,0,8.05,0
455,456,1,3,0,29.0,0,0,7.8958,1
456,457,0,1,0,65.0,0,0,26.55,0
457,458,1,1,1,41.0,1,0,51.8625,0
458,459,1,2,1,50.0,0,0,10.5,0
459,460,0,3,0,47.0,0,0,7.75,2
460,461,1,1,0,48.0,0,0,26.55,0
461,462,0,3,0,34.0,0,0,8.05,0
462,463,0,1,0,47.0,0,0,38.5,0
463,464,0,2,0,48.0,0,0,13.0,0
464,465,0,3,0,27.0,0,0,8.05,0
465,466,0,3,0,38.0,0,0,7.05,0
466,467,0,2,0,33.0,0,0,0.0,0
467,468,0,1,0,56.0,0,0,26.55,0
468,469,0,3,0,42.0,0,0,7.725,2
469,470,1,3,1,0.75,2,1,19.2583,1
470,471,0,3,0,34.0,0,0,7.25,0
471,472,0,3,0,38.0,0,0,8.6625,0
472,473,1,2,1,33.0,1,2,27.75,0
473,474,1,2,1,23.0,0,0,13.7917,1
474,475,0,3,1,22.0,0,0,9.8375,0
475,476,0,1,0,44.0,0,0,52.0,0
476,477,0,2,0,34.0,1,0,21.0,0
477,478,0,3,0,29.0,1,0,7.0458,0
478,479,0,3,0,22.0,0,0,7.5208,0
479,480,1,3,1,2.0,0,1,12.2875,0
480,481,0,3,0,9.0,5,2,46.9,0
481,482,0,2,0,33.0,0,0,0.0,0
482,483,0,3,0,50.0,0,0,8.05,0
483,484,1,3,1,63.0,0,0,9.5875,0
484,485,1,1,0,25.0,1,0,91.0792,1
485,486,0,3,1,24.0,3,1,25.4667,0
486,487,1,1,1,35.0,1,0,90.0,0
487,488,0,1,0,58.0,0,0,29.7,1
488,489,0,3,0,30.0,0,0,8.05,0
489,490,1,3,0,9.0,1,1,15.9,0
490,491,0,3,0,26.0,1,0,19.9667,0
491,492,0,3,0,21.0,0,0,7.25,0
492,493,0,1,0,55.0,0,0,30.5,0
493,494,0,1,0,71.0,0,0,49.5042,1
494,495,0,3,0,21.0,0,0,8.05,0
495,496,0,3,0,22.0,0,0,14.4583,1
496,497,1,1,1,54.0,1,0,78.2667,1
497,498,0,3,0,30.0,0,0,15.1,0
498,499,0,1,1,25.0,1,2,151.55,0
499,500,0,3,0,24.0,0,0,7.7958,0
500,501,0,3,0,17.0,0,0,8.6625,0
501,502,0,3,1,21.0,0,0,7.75,2
502,503,0,3,1,21.0,0,0,7.6292,2
503,504,0,3,1,37.0,0,0,9.5875,0
504,505,1,1,1,16.0,0,0,86.5,0
505,506,0,1,0,18.0,1,0,108.9,1
506,507,1,2,1,33.0,0,2,26.0,0
507,508,1,1,0,55.0,0,0,26.55,0
508,509,0,3,0,28.0,0,0,22.525,0
509,510,1,3,0,26.0,0,0,56.4958,0
510,511,1,3,0,29.0,0,0,7.75,2
511,512,0,3,0,27.0,0,0,8.05,0
512,513,1,1,0,36.0,0,0,26.2875,0
513,514,1,1,1,54.0,1,0,59.4,1
514,515,0,3,0,24.0,0,0,7.4958,0
515,516,0,1,0,47.0,0,0,34.0208,0
516,517,1,2,1,34.0,0,0,10.5,0
517,518,0,3,0,32.0,0,0,24.15,2
518,519,1,2,1,36.0,1,0,26.0,0
519,520,0,3,0,32.0,0,0,7.8958,0
520,521,1,1,1,30.0,0,0,93.5,0
521,522,0,3,0,22.0,0,0,7.8958,0
522,523,0,3,0,32.0,0,0,7.225,1
523,524,1,1,1,44.0,0,1,57.9792,1
524,525,0,3,0,24.0,0,0,7.2292,1
525,526,0,3,0,40.5,0,0,7.75,2
526,527,1,2,1,50.0,0,0,10.5,0
527,528,0,1,0,30.0,0,0,221.7792,0
528,529,0,3,0,39.0,0,0,7.925,0
529,530,0,2,0,23.0,2,1,11.5,0
530,531,1,2,1,2.0,1,1,26.0,0
531,532,0,3,0,24.0,0,0,7.2292,1
532,533,0,3,0,17.0,1,1,7.2292,1
533,534,1,3,1,14.0,0,2,22.3583,1
534,535,0,3,1,30.0,0,0,8.6625,0
535,536,1,2,1,7.0,0,2,26.25,0
536,537,0,1,0,45.0,0,0,26.55,0
537,538,1,1,1,30.0,0,0,106.425,1
538,539,0,3,0,41.0,0,0,14.5,0
539,540,1,1,1,22.0,0,2,49.5,1
540,541,1,1,1,36.0,0,2,71.0,0
541,542,0,3,1,9.0,4,2,31.275,0
542,543,0,3,1,11.0,4,2,31.275,0
543,544,1,2,0,32.0,1,0,26.0,0
544,545,0,1,0,50.0,1,0,106.425,1
545,546,0,1,0,64.0,0,0,26.0,0
546,547,1,2,1,19.0,1,0,26.0,0
547,548,1,2,0,38.0,0,0,13.8625,1
548,549,0,3,0,33.0,1,1,20.525,0
549,550,1,2,0,8.0,1,1,36.75,0
550,551,1,1,0,17.0,0,2,110.8833,1
551,552,0,2,0,27.0,0,0,26.0,0
552,553,0,3,0,47.0,0,0,7.8292,2
553,554,1,3,0,22.0,0,0,7.225,1
554,555,1,3,1,22.0,0,0,7.775,0
555,556,0,1,0,62.0,0,0,26.55,0
556,557,1,1,1,48.0,1,0,39.6,1
557,558,0,1,0,30.0,0,0,227.525,1
558,559,1,1,1,39.0,1,1,79.65,0
559,560,1,3,1,36.0,1,0,17.4,0
560,561,0,3,0,47.0,0,0,7.75,2
561,562,0,3,0,40.0,0,0,7.8958,0
562,563,0,2,0,28.0,0,0,13.5,0
563,564,0,3,0,27.0,0,0,8.05,0
564,565,0,3,1,27.0,0,0,8.05,0
565,566,0,3,0,24.0,2,0,24.15,0
566,567,0,3,0,19.0,0,0,7.8958,0
567,568,0,3,1,29.0,0,4,21.075,0
568,569,0,3,0,24.0,0,0,7.2292,1
569,570,1,3,0,32.0,0,0,7.8542,0
570,571,1,2,0,62.0,0,0,10.5,0
571,572,1,1,1,53.0,2,0,51.4792,0
572,573,1,1,0,36.0,0,0,26.3875,0
